,white_pixel_ratio,contour_area,contour_perimeter,edge_density,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7
count,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0,1073.0
mean,0.4594849800649523,25215.890493942217,863.2847165985854,0.053303425065855795,0.0007751276079394347,2.7209257774746545e-08,1.3139632987292852e-11,1.3467269913703556e-11,-1.0481209563229046e-20,3.5387069508232162e-15,9.560506586132579e-21
std,0.10430703279180918,6110.12565966117,434.8247005126061,0.023084588387994494,0.0003695825932993482,8.222786386785228e-08,6.555086713184636e-11,1.9231433690942263e-10,2.2943590481680975e-19,6.745633388327153e-14,1.9909926058416065e-19
min,0.11328125,3125.0,222.30865669250488,0.011798469387755101,0.0006262130115287222,4.672808023164833e-11,1.1409507591395412e-16,8.508890874018521e-18,-5.241268357742851e-18,-2.2185152386377916e-13,-2.967942727344557e-20
25%,0.39211973852040816,21021.0,590.4163011312485,0.03834502551020408,0.0006873969748771316,5.909266672533811e-09,1.124596056572184e-12,8.276822868923927e-14,-2.592200161633824e-25,9.108182732462319e-19,-1.7302553893117887e-25
50%,0.46328922193877553,24992.0,718.4823161363602,0.04918686224489796,0.0007220285435226464,1.47533480893153e-08,2.9849920355018763e-12,4.759001111446514e-13,9.120416963867127e-28,3.1997291579308725e-17,-2.389104301764245e-29
75%,0.5375876913265306,29694.0,974.0630505084991,0.06040736607142857,0.0007657908556426263,2.9481010451038534e-08,7.77465121785803e-12,1.4046646756656912e-12,2.933209221139437e-25,1.2316068855126317e-16,1.9812481017145054e-25
max,0.7548230229591837,40154.5,3224.203433275223,0.1866828762755102,0.005220003218195943,2.294221092296158e-06,1.416957206759547e-09,4.333959774132287e-09,1.157341596488779e-19,1.5172644134029267e-12,4.5894098789204045e-18
